trip_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,2,2016-03-10T09:27:33.000Z,2016-03-10T09:43:40.000Z,1,9.76,Standard rate,40.70782852172852,-74.0082778930664,40.76675033569336,-73.97891998291014,Credit card,12.5,0.0,0.5,2.66,0.0,0.3,15.96
1,2,2016-03-10T09:27:52.000Z,2016-03-10T09:41:30.000Z,2,4.46,Standard rate,40.74333572387695,-73.9880599975586,40.71154022216797,-74.0101318359375,Credit card,9.5,0.0,0.5,3.09,0.0,0.3,13.39
2,2,2016-03-10T09:28:14.000Z,2016-03-10T09:37:47.000Z,6,2.15,Standard rate,40.74079132080078,-74.00537109375,40.764591217041016,-73.9729766845703,Credit card,7.5,0.0,0.5,1.66,0.0,0.3,9.96
3,2,2016-03-10T09:29:57.000Z,2016-03-10T09:36:57.000Z,1,11.14,Standard rate,40.75534057617188,-73.98675537109375,40.778217315673835,-73.98199462890625,Cash,6.5,0.0,0.5,0.0,0.0,0.3,7.3
4,2,2016-03-10T09:30:36.000Z,2016-03-10T09:58:08.000Z,1,4.59,Standard rate,40.76607131958008,-73.96730804443358,40.709716796875,-74.01453399658203,Cash,20.5,0.0,0.5,0.0,0.0,0.3,21.3
5,2,2016-03-10T09:31:48.000Z,2016-03-10T09:43:37.000Z,5,3.06,Standard rate,40.7393798828125,-73.9990692138672,40.76433944702149,-73.96907806396483,Cash,9.0,0.0,0.5,0.0,0.0,0.3,9.8
6,2,2016-03-10T09:32:37.000Z,2016-03-10T10:01:39.000Z,1,5.73,Standard rate,40.73566055297852,-73.99398040771484,40.76784896850586,-73.8612289428711,Credit card,35.0,0.0,0.5,5.37,0.0,0.3,41.17
7,2,2016-03-10T09:40:39.000Z,2016-03-10T10:01:59.000Z,3,3.39,Standard rate,40.78482055664063,-73.96952819824217,40.71939468383789,-74.00021362304686,Credit card,21.0,0.0,0.5,4.36,0.0,0.3,26.16
8,2,2016-03-10T09:41:06.000Z,2016-03-10T10:13:40.000Z,1,5.65,Standard rate,40.75787734985352,-73.9752197265625,40.71213150024414,-74.01551055908203,Credit card,25.0,0.0,0.5,5.16,0.0,0.3,30.96
9,2,2016-03-10T09:41:28.000Z,2016-03-10T09:49:42.000Z,1,8.68,Standard rate,40.75382995605469,-73.98036193847656,40.7765007019043,-73.95774841308594,Credit card,8.0,0.0,0.5,1.76,0.0,0.3,10.56
10,2,2016-03-10T09:41:30.000Z,2016-03-10T09:51:42.000Z,3,7.8,Standard rate,40.81087112426758,-73.96198272705078,40.72854995727539,-73.99398040771484,Credit card,8.5,0.0,0.5,1.86,0.0,0.3,11.16
11,2,2016-03-10T09:41:41.000Z,2016-03-10T10:36:21.000Z,6,16.86,Standard rate,40.72444915771485,-74.00168609619139,40.619140625,-73.90917205810547,Credit card,74.0,0.0,0.5,16.07,5.54,0.3,96.41
