trip_distance_id,trip_distance
0,19.98
1,17.56
2,2.86
3,0.66
4,10.65
5,3.26
6,15.5
7,8.51
8,9.13
9,17.52
10,9.55
11,16.75
12,1.82
13,5.86
14,6.96
15,19.27
16,16.54
17,20.49
18,11.53
19,2.4
20,4.19
21,0.84
22,5.78
23,5.05
24,0.07
25,14.18
26,21.72
27,20.21
28,18.78
29,9.72
30,2.82
31,10.2
32,1.41
33,2.41
34,5.13
35,9.49
36,8.0
37,18.57
38,10.82
39,5.48
40,7.91
41,18.3
42,2.62
43,5.76
44,20.38
45,9.41
46,8.92
47,15.62
48,8.43
49,14.07
50,12.03
51,0.0
52,0.87
53,4.88
54,6.17
55,20.35
56,6.44
57,8.31
58,8.83
59,15.27
60,18.03
61,3.02
62,4.92
63,14.87
64,7.39
65,11.45
66,18.91
67,10.23
68,14.11
69,24.74
70,9.77
71,17.9
72,1.42
73,5.4
74,2.55
75,7.42
76,4.23
77,11.54
78,11.4
79,6.27
80,12.79
81,1.31
82,4.02
83,6.43
84,12.64
85,19.11
86,7.0
87,11.14
88,12.82
89,1.16
90,8.97
91,3.08
92,0.16
93,4.36
94,9.34
95,15.48
96,8.48
97,15.9
98,13.26
99,15.34
100,0.93
101,3.57
102,12.93
103,20.53
104,18.14
105,4.93
106,12.85
107,11.35
108,7.84
109,12.43
110,3.5
111,3.56
112,11.42
113,18.82
114,9.5
115,2.28
116,6.37
117,17.58
118,6.1
119,16.39
120,14.64
121,17.53
122,8.99
123,0.89
124,18.34
125,2.64
126,1.69
127,11.27
128,5.34
129,3.33
130,4.34
131,8.79
132,8.36
133,14.69
134,11.6
135,8.54
136,0.18
137,3.88
138,8.55
139,11.66
140,11.08
141,17.15
142,9.51
143,21.76
144,14.41
145,7.7
146,2.84
147,3.93
148,3.19
149,8.85
150,9.95
151,3.45
152,2.97
153,10.69
154,6.41
155,10.76
156,17.79
157,7.36
158,15.66
159,0.2
160,2.02
161,1.08
162,1.25
163,3.35
164,2.79
165,10.88
166,14.12
167,20.68
168,10.77
169,12.28
170,9.78
171,17.3
172,2.85
173,1.44
174,1.54
175,5.45
176,20.5
177,16.91
178,6.6
179,12.13
180,19.23
181,11.62
182,36.25
183,1.89
184,3.64
185,5.47
186,13.12
187,9.97
188,3.65
189,3.42
190,8.71
191,2.63
192,5.95
193,8.29
194,7.61
195,8.06
196,11.52
197,17.16
198,18.93
199,1.72
200,11.59
201,4.41
202,10.54
203,13.54
204,19.01
205,17.43
206,7.01
207,13.3
208,10.03
209,18.19
210,13.17
211,8.7
212,12.02
213,18.9
214,17.06
215,5.84
216,10.71
217,13.44
218,14.93
219,16.46
220,2.9
221,10.78
222,1.63
223,15.79
224,19.54
225,7.22
226,6.66
227,6.91
228,16.84
229,5.88
230,3.7
231,18.81
232,3.23
233,4.27
234,5.11
235,5.69
236,10.56
237,10.86
238,5.42
239,6.28
240,2.94
241,3.62
242,2.35
243,1.52
244,3.96
245,18.36
246,6.54
247,40.27
248,4.5
249,18.17
250,17.42
251,0.05
252,10.3
253,21.4
254,20.26
255,8.93
256,3.66
257,1.94
258,7.03
259,10.13
260,9.99
261,14.99
262,3.11
263,2.61
264,17.47
265,17.83
266,18.79
267,8.15
268,26.46
269,5.01
270,18.18
271,10.04
272,11.26
273,0.39
274,2.21
275,4.39
276,10.94
277,5.7
278,1.4
279,4.56
280,17.36
281,17.78
282,5.74
283,7.94
284,11.36
285,0.79
286,7.06
287,5.56
288,18.41
289,16.49
290,19.69
291,4.53
292,7.96
293,16.47
294,7.88
295,5.66
296,0.72
297,1.05
298,2.27
299,5.62
300,10.37
301,6.73
302,7.62
303,16.21
304,5.63
305,16.76
306,18.01
307,1.7
308,20.2
309,5.96
310,3.01
311,4.49
312,6.7
313,7.65
314,9.81
315,17.91
316,9.25
317,22.17
318,9.75
319,2.34
320,9.67
321,11.72
322,19.39
323,4.06
324,6.09
325,0.7
326,0.24
327,10.06
328,18.75
329,12.15
330,11.17
331,15.8
332,4.33
333,2.3
334,7.4
335,2.96
336,11.93
337,8.28
338,1.49
339,6.69
340,18.44
341,4.08
342,13.55
343,13.62
344,19.91
345,8.76
346,16.92
347,0.54
348,6.5
349,8.18
350,16.55
351,10.87
352,8.91
353,16.85
354,10.47
355,8.82
356,22.35
357,0.21
358,6.63
359,3.77
360,1.35
361,2.65
362,13.38
363,8.77
364,26.27
365,21.2
366,8.12
367,9.31
368,13.03
369,7.33
370,28.64
371,4.75
372,19.36
373,19.6
374,7.15
375,10.95
376,0.1
377,17.76
378,18.13
379,3.4
380,3.05
